paygrade,y0,y2,y3,y4,y6,y8,y10,y12,y14,y16,y18,y20,y22,y24,y26,y28,y30,y32,y34,y36,y38,y40
o10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16608.30,16608.30,16608.30,16608.30,16608.30,16608.30,16608.30,16608.30,16608.30,16608.30,16608.30
o9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16012.50,16243.80,16576.80,16608.30,16608.30,16608.30,16608.30,16608.30,16608.30,16608.30,16608.30
o8,11329.50,11701.20,11947.50,12016.20,12323.40,12836.70,12956.40,13443.60,13584.00,14004.00,14611.80,15171.90,15546.00,15546.00,15546.00,15546.00,15935.40,15935.40,16333.20,16333.20,16333.20,16333.20
o7,9414.30,9851.40,10053.90,10215.00,10506.00,10794.00,11126.70,11458.20,11791.20,12836.70,13719.30,13719.30,13719.30,13719.30,13789.80,13789.80,14065.80,14065.80,14065.80,14065.80,14065.80,14065.80
o6,7139.10,7842.90,8357.70,8357.70,8389.80,8749.20,8796.90,8796.90,9296.70,10180.50,10699.20,11217.60,11512.80,11811.90,12390.90,12390.90,12638.40,12638.40,12638.40,12638.40,12638.40,12638.40
o5,5951.40,6704.40,7168.20,7255.50,7545.60,7718.40,8099.40,8379.60,8740.80,9293.10,9555.90,9816.00,10111.20,10111.20,10111.20,10111.20,10111.20,10111.20,10111.20,10111.20,10111.20,10111.20
o4,5135.10,5943.90,6341.10,6429.00,6797.10,7192.20,7684.20,8066.70,8332.50,8485.50,8573.70,8573.70,8573.70,8573.70,8573.70,8573.70,8573.70,8573.70,8573.70,8573.70,8573.70,8573.70
o3,4514.70,5117.70,5523.30,6022.80,6311.70,6628.20,6832.80,7169.40,7345.20,7345.20,7345.20,7345.20,7345.20,7345.20,7345.20,7345.20,7345.20,7345.20,7345.20,7345.20,7345.20,7345.20
o2,3901.20,4442.70,5116.80,5289.90,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50,5398.50
o1,3385.80,3524.40,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60,4260.60
o3e,0.00,0.00,0.00,6022.80,6311.70,6628.20,6832.80,7169.40,7453.50,7617.00,7839.00,7839.00,7839.00,7839.00,7839.00,7839.00,7839.00,7839.00,7839.00,7839.00,7839.00,7839.00
o2e,0.00,0.00,0.00,5289.90,5398.50,5570.40,5860.50,6084.90,6251.70,6251.70,6251.70,6251.70,6251.70,6251.70,6251.70,6251.70,6251.70,6251.70,6251.70,6251.70,6251.70,6251.70
o1e,0.00,0.00,0.00,4260.60,4549.50,4717.50,4889.70,5058.30,5289.90,5289.90,5289.90,5289.90,5289.90,5289.90,5289.90,5289.90,5289.90,5289.90,5289.90,5289.90,5289.90,5289.90
w5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8296.20,8716.80,9030.60,9377.10,9377.10,9846.90,9846.90,10338.60,10338.60,10856.40,10856.40
w4,4665.90,5018.70,5162.70,5304.60,5548.80,5790.30,6035.10,6402.60,6725.10,7032.00,7283.40,7528.50,7888.20,8183.70,8520.90,8520.90,8691.00,8691.00,8691.00,8691.00,8691.00,8691.00
w3,4261.20,4438.50,4620.90,4680.30,4870.80,5246.40,5637.30,5821.50,6034.80,6253.80,6648.90,6915.00,7074.30,7243.50,7474.50,7474.50,7474.50,7474.50,7474.50,7474.50,7474.50,7474.50
w2,3770.40,4127.10,4236.60,4312.20,4556.40,4936.50,5125.20,5310.30,5537.10,5714.40,5874.60,6066.90,6193.20,6293.10,6293.10,6293.10,6293.10,6293.10,6293.10,6293.10,6293.10,6293.10
w1,3309.30,3666.00,3761.40,3963.90,4203.00,4555.80,4720.20,4950.90,5177.40,5355.60,5519.40,5718.60,5718.60,5718.60,5718.60,5718.60,5718.60,5718.60,5718.60,5718.60,5718.60,5718.60
e9,0.00,0.00,0.00,0.00,0.00,0.00,5637.00,5764.80,5925.90,6114.90,6306.60,6612.00,6871.50,7143.30,7560.30,7560.30,7937.70,7937.70,8334.90,8334.90,8752.50,8752.50
e8,0.00,0.00,0.00,0.00,0.00,4614.60,4818.60,4944.90,5096.10,5260.50,5556.30,5706.30,5961.60,6103.50,6451.80,6451.80,6581.40,6581.40,6581.40,6581.40,6581.40,6581.40
e7,3207.60,3501.00,3635.40,3812.40,3951.30,4189.50,4323.90,4561.80,4760.10,4895.10,5039.10,5094.90,5282.40,5382.90,5765.40,5765.40,5765.40,5765.40,5765.40,5765.40,5765.40,5765.40
e6,2774.40,3053.10,3188.10,3318.90,3455.40,3762.60,3882.90,4114.50,4185.30,4236.90,4297.20,4297.20,4297.20,4297.20,4297.20,4297.20,4297.20,4297.20,4297.20,4297.20,4297.20,4297.20
e5,2541.60,2712.90,2844.00,2978.10,3187.20,3405.60,3585.30,3606.90,3606.90,3606.90,3606.90,3606.90,3606.90,3606.90,3606.90,3606.90,3606.90,3606.90,3606.90,3606.90,3606.90,3606.90
e4,2330.40,2449.80,2582.40,2713.50,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00,2829.00
e3,2103.90,2236.20,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80,2371.80
e2,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70,2000.70
e1,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00,1785.00
